SDSS_ID Date a d z Age1 Age2 s rBSSN rBSH X2gal X2SN Type
0271-51883-171 05/12/00 154.5020 −0.0328 0.065 27 42 0.91 19.54 18.11 2.4 1.2 Ia
0291-51928-076 19/01/01 191.8892 0.0992 0.086 28 21 1.06 20.03 17.87 1.7 1.0 Ia
0313-51673-154 09/05/00 231.8958 −0.0595 0.044 33 38 1.11 19.85 17.43 1.6 1.1 Ia
0328-52282-570 08/01/02 175.9218 −1.4770 0.125 27 30 0.84 19.94 17.99 1.5 1.1 Ia
0358-51818-181 01/10/00 263.1189 56.0737 0.123 21 30 1.05 20.19 18.21 1.7 1.1 Ia
0394-51812-554 25/09/00 14.0069 0.4353 0.146 −5 −5 1.12 20.03 18.08 1.3 1.0 Ia
0418-51884-144 06/12/00 9.8403 14.4699 0.017 12 16 1.04 19.46 17.36 2.1 1.1 Ia
0424-51893-355 15/12/00 19.6493 14.6835 0.054 7 7 0.94 17.97 16.98 7.6 1.1 Ia
0438-51884-166 06/12/00 121.0888 46.7870 0.187 16 12 0.88 21.30 18.16 1.1 1.0 Ia
0438-51884-462 06/12/00 120.8026 47.6138 0.117 2 −5 0.91 19.54 18.06 2.2 1.0 Ia
0452-51911-319 02/01/01 140.6214 57.9081 0.063 9 10 0.83 19.43 17.93 1.8 1.1 Ia
0480-51989-024 21/03/01 147.9711 1.1016 0.063 2 −8 1.00 18.77 17.77 4.4 1.5 Ia
0498-51984-102 16/03/01 212.7430 64.8475 0.141 20 18 0.99 20.43 18.09 1.2 0.9 Ia
0500-51994-100 26/03/01 149.8156 0.9673 0.088 11 9 0.98 19.64 18.43 1.8 1.0 Ia
0578-52339-314 06/03/02 159.7062 4.0156 0.129 6 3 1.04 19.54 17.87 1.8 1.2 Ia
0604-52079-209 19/06/01 204.9366 62.3936 0.136 2 −5 0.95 20.11 18.38 1.2 1.0 Ia
0606-52365-412 01/04/02 213.3167 62.0323 0.142 6 −2 0.88 20.15 17.45 1.4 1.2 Ia
0622-52054-011 25/05/01 244.3058 48.4744 0.104 16 17 1.07 19.88 18.21 1.7 1.3 Ia
0738-52521-360 04/09/02 336.7925 13.6661 0.150 27 22 1.04 20.19 18.14 1.1 1.0 Ia
0745-52258-092 15/12/01 350.7757 13.6668 0.041 54 68 0.89 20.16 17.40 1.1 0.9 Ia
0762-52232-067 19/11/01 129.7765 43.7123 0.125 31 34 1.06 20.39 18.03 1.0 0.9 Ia
0814-52443-249 18/06/02 243.4005 43.7256 0.112 8 7 0.96 20.01 18.18 1.5 0.9 Ia
0844-52378-462 14/04/02 184.4150 5.3234 0.104 31 36 1.05 20.32 17.85 1.2 1.0 Ia
0905-52643-213 04/01/03 157.4940 53.5018 0.137 42 38 1.02 20.60 18.25 1.0 0.9 Ia
0915-52443-543 18/06/02 211.3174 −1.7113 0.054 29 24 1.03 19.33 17.44 1.5 0.9 Ia
0966-52642-221 03/01/03 172.2523 48.7331 0.074 3 2 0.89 19.46 18.26 1.8 1.1 Ia
1038-52673-135 03/02/03 191.8526 53.7308 0.153 12 11 0.88 20.59 19.08 1.2 1.0 Ia
1059-52618-144 10/12/02 116.8937 27.4465 0.063 33 32 1.04 19.43 17.51 1.9 0.9 Ia
1171-52753-185 24/04/03 244.8403 41.0899 0.038 10 8 0.89 18.00 16.16 3.9 0.9 Ia
1189-52668-239 29/01/03 132.2645 5.8377 0.126 3 4 0.78 20.01 18.07 1.4 1.0 Ia
1205-52670-632 31/01/03 122.8267 26.1661 0.144 12 13 0.97 20.25 17.58 1.3 1.1 Ia
1278-52735-425 06/04/03 189.1061 50.6116 0.106 6 6 0.95 19.51 17.64 1.5 1.0 Ia
1289-52734-413 05/04/03 220.2447 45.1308 0.074 8 8 0.93 19.53 16.57 1.0 0.8 Ia
